overall,name,pos,pos_rank,tier,team,bye,pts,ppg,vorp,adp,espn_sf_rank,injury
423,Joe Royer,TE,83,1,CLE,11,0.0,0.0,-120.9,169.99,1441,OUT
424,Justin Fields,QB,37,10,KC,5,10.6,0.6,-229.2,169.96,334,ACTIVE
425,Jalon Daniels,QB,39,10,TB,10,10.5,0.6,-229.3,169.95,479,ACTIVE
426,Joe Flacco,QB,38,10,CIN,6,10.5,0.6,-229.3,169.97,374,ACTIVE
427,Jarrett Stidham,QB,40,10,DEN,10,10.4,0.6,-229.4,169.99,480,ACTIVE
428,Tommy DeVito,QB,41,10,NE,11,10.3,0.6,-229.5,169.95,482,ACTIVE
429,Tyson Bagent,QB,44,10,CHI,10,10.1,0.6,-229.7,169.98,484,ACTIVE
430,Ty Simpson,QB,45,10,LAR,11,10.0,0.6,-229.8,169.96,476,ACTIVE
431,Drew Allar,QB,46,10,PIT,9,9.5,0.6,-230.3,169.94,1223,ACTIVE
432,Tyrod Taylor,QB,47,10,GB,11,9.5,0.6,-230.3,169.97,1231,ACTIVE
433,Sam Howell,QB,48,10,DAL,14,9.5,0.6,-230.3,169.98,485,ACTIVE
434,Tanner McKee,QB,49,10,PHI,10,9.5,0.6,-230.3,169.98,486,ACTIVE
435,Quinn Ewers,QB,50,10,JAX,7,9.4,0.6,-230.4,169.97,1229,ACTIVE
436,Riley Leonard,QB,51,10,IND,13,9.4,0.6,-230.4,169.99,1228,ACTIVE
437,Trey Lance,QB,52,10,LAC,7,9.4,0.6,-230.4,169.99,1224,ACTIVE
438,Kenny Pickett,QB,53,10,CAR,5,9.1,0.5,-230.7,169.97,1236,ACTIVE
439,Spencer Rattler,QB,54,10,NO,8,8.9,0.5,-230.9,169.99,1239,ACTIVE
440,Joshua Dobbs,QB,55,10,DET,6,8.7,0.5,-231.1,169.96,1248,ACTIVE
441,Jameis Winston,QB,56,10,NYG,8,8.6,0.5,-231.2,169.95,477,ACTIVE
442,Mac Jones,QB,57,10,SF,8,8.6,0.5,-231.2,169.98,375,ACTIVE
443,Tyler Huntley,QB,58,10,BAL,13,8.6,0.5,-231.2,169.98,1249,ACTIVE
444,Davis Mills,QB,59,10,HOU,8,8.4,0.5,-231.4,169.99,1258,ACTIVE
445,Cade Klubnik,QB,60,10,NYJ,13,8.2,0.5,-231.6,169.98,1262,ACTIVE
446,Kyle Allen,QB,61,10,BUF,7,8.1,0.5,-231.7,169.96,1267,ACTIVE
447,Drew Lock,QB,62,10,SEA,11,8.0,0.5,-231.8,169.97,1271,ACTIVE
448,Kyle McCord,QB,63,10,MIA,6,8.0,0.5,-231.8,169.99,1268,ACTIVE
449,Gardner Minshew II,QB,65,10,ARI,14,7.1,0.5,-232.7,169.98,1278,ACTIVE
450,Joe Milton III,QB,66,10,FA,0,0.0,0.0,-239.8,169.96,1398,ACTIVE
451,Teddy Bridgewater,QB,71,10,DET,6,0.0,0.0,-239.8,169.97,1776,ACTIVE
452,Stetson Bennett IV,QB,68,10,LAR,11,0.0,0.0,-239.8,169.98,1376,ACTIVE
453,Mason Rudolph,QB,69,10,PIT,9,0.0,0.0,-239.8,169.98,1337,ACTIVE
454,Jake Browning,QB,70,10,FA,0,0.0,0.0,-239.8,169.99,2223,ACTIVE
455,Nick Mullens,QB,72,10,FA,0,0.0,0.0,-239.8,170.0,1688,ACTIVE
456,Marcus Mariota,QB,42,10,WSH,7,10.2,0.6,-229.6,169.99,483,QUESTIONABLE
457,J.J. McCarthy,QB,43,10,MIN,6,10.1,0.6,-229.7,169.89,310,QUESTIONABLE
458,Mitchell Trubisky,QB,64,10,TEN,9,7.8,0.5,-232.0,169.99,1273,QUESTIONABLE
459,Isaac Guerendo,RB,112,3,SF,8,0.0,0.0,-138.3,170.08,1393,OUT
460,Will Howard,QB,67,10,PIT,9,0.0,0.0,-239.8,169.98,1424,QUESTIONABLE
461,Savion Williams,WR,114,4,GB,11,28.5,1.7,-92.4,170.03,1012,INJURY_RESERVE
462,Tank Dell,WR,164,4,HOU,8,0.0,0.0,-120.9,163.66,314,INJURY_RESERVE
463,Christian Kirk,WR,167,4,SF,8,0.0,0.0,-120.9,169.93,1341,INJURY_RESERVE
464,Ricky Pearsall,WR,166,4,SF,8,0.0,0.0,-120.9,169.94,1391,INJURY_RESERVE
465,Jayden Higgins,WR,165,4,HOU,8,0.0,0.0,-120.9,169.97,1409,INJURY_RESERVE
466,Calvin Austin III,WR,171,4,NYG,8,0.0,0.0,-120.9,169.99,1364,INJURY_RESERVE
467,Dont'e Thornton Jr.,WR,172,4,LV,13,0.0,0.0,-120.9,169.99,1164,INJURY_RESERVE
468,Chris Brazzell II,WR,168,4,CAR,5,0.0,0.0,-120.9,170.0,1439,INJURY_RESERVE
469,Trey Benson,RB,111,3,ARI,14,0.0,0.0,-138.3,169.98,447,INJURY_RESERVE
470,Devin Neal,RB,116,3,NO,8,0.0,0.0,-138.3,170.0,1422,INJURY_RESERVE
471,Trevor Etienne,RB,109,3,CAR,5,0.0,0.0,-138.3,170.02,1410,INJURY_RESERVE
472,James Conner,RB,106,3,ARI,14,0.0,0.0,-138.3,170.13,442,INJURY_RESERVE
473,Adam Randall,RB,108,3,BAL,13,0.0,0.0,-138.3,170.27,441,INJURY_RESERVE
474,Cairo Santos,K,11,3,CHI,10,144.3,8.5,-1.6,169.06,267,ACTIVE
475,Trey Smack,K,12,3,GB,11,144.3,8.5,-1.6,168.08,423,ACTIVE
476,Chris Boswell,K,13,3,PIT,9,142.8,8.4,-3.1,164.65,344,ACTIVE
477,Will Reichard,K,14,3,MIN,6,142.5,8.4,-3.4,167.8,270,ACTIVE
478,Chase McLaughlin,K,15,3,TB,10,142.2,8.4,-3.7,170.25,345,ACTIVE
479,Evan McPherson,K,16,3,CIN,6,141.8,8.3,-4.1,169.32,388,ACTIVE
480,Nick Folk,K,17,3,ATL,11,141.3,8.3,-4.6,170.33,389,ACTIVE
481,Spencer Shrader,K,18,3,IND,13,139.6,8.2,-6.3,169.94,424,ACTIVE
482,Daniel Carlson,K,19,3,NO,8,137.8,8.1,-8.1,170.18,489,ACTIVE
483,Tyler Bass,K,20,3,BUF,7,137.0,8.1,-8.9,169.59,491,ACTIVE
484,Wil Lutz,K,21,3,DEN,10,135.8,8.0,-10.1,169.63,490,ACTIVE
485,Jake Elliott,K,22,3,PHI,10,135.7,8.0,-10.2,169.06,488,ACTIVE
486,Drew Stevens,K,23,3,WSH,7,133.6,7.9,-12.3,169.96,494,ACTIVE
487,Dominic Zvada,K,24,3,NYG,8,133.2,7.8,-12.7,169.87,492,ACTIVE
488,Andy Borregales,K,25,3,NE,11,129.3,7.6,-16.6,170.08,495,ACTIVE
489,Riley Patterson,K,26,3,MIA,6,127.6,7.5,-18.3,169.94,496,ACTIVE
490,Matt Gay,K,27,3,LV,13,125.1,7.4,-20.8,169.58,497,ACTIVE
491,Ryan Fitzgerald,K,28,3,CAR,5,124.2,7.3,-21.7,169.81,498,ACTIVE
492,Joey Slye,K,29,3,TEN,9,123.3,7.3,-22.6,169.79,500,ACTIVE
493,Andre Szmyt,K,30,3,CLE,11,121.6,7.2,-24.3,169.89,503,ACTIVE
494,Chad Ryland,K,31,3,ARI,14,121.5,7.1,-24.4,169.91,502,ACTIVE
495,Blake Grupe,K,32,3,NYJ,13,119.9,7.1,-26.0,170.01,2221,ACTIVE
496,Charlie Smyth,K,33,4,FA,0,0.0,0.0,-145.9,169.98,2515,ACTIVE
497,Jason Sanders,K,34,4,NYJ,13,0.0,0.0,-145.9,169.89,504,ACTIVE
498,Younghoe Koo,K,35,4,FA,0,0.0,0.0,-145.9,169.78,1756,ACTIVE
499,Jake Moody,K,36,4,FA,0,0.0,0.0,-145.9,169.94,2124,ACTIVE
500,Ben Sauls,K,37,4,NYG,8,0.0,0.0,-145.9,169.84,2566,ACTIVE
501,Zane Gonzalez,K,38,4,FA,0,0.0,0.0,-145.9,169.98,2388,QUESTIONABLE
502,Brandon McManus,K,39,4,FA,0,0.0,0.0,-145.9,169.95,1774,ACTIVE
503,Graham Gano,K,40,4,FA,0,0.0,0.0,-145.9,169.99,1782,QUESTIONABLE
504,Cade York,K,41,4,FA,0,0.0,0.0,-145.9,169.98,1999,ACTIVE
505,Tanner Brown,K,42,4,FA,0,0.0,0.0,-145.9,169.98,2209,ACTIVE
506,Chiefs D/ST,DST,11,2,KC,5,100.4,5.9,-0.1,166.09,249,ACTIVE
507,Chargers D/ST,DST,12,3,LAC,7,94.8,5.6,-5.7,165.69,250,ACTIVE
508,Buccaneers D/ST,DST,13,3,TB,10,93.0,5.5,-7.5,170.49,342,ACTIVE
509,Packers D/ST,DST,14,3,GB,11,90.3,5.3,-10.2,169.33,343,ACTIVE
510,Saints D/ST,DST,15,3,NO,8,89.0,5.2,-11.5,170.55,386,ACTIVE
511,49ers D/ST,DST,16,4,SF,8,83.1,4.9,-17.4,169.06,422,ACTIVE
512,Jets D/ST,DST,17,4,NYJ,13,82.6,4.9,-17.9,170.24,420,ACTIVE
